# mcs, cbs, sinr, bler
2,8064.00,2.14,0.006
3,8192.00,3.50,0.065
4,8192.00,4.94,0.019
5,8192.00,7.09,0.013
6,8192.00,7.75,0.065
7,8192.00,8.56,0.043
8,8192.00,9.41,0.035
9,8192.00,10.31,0.053
10,8192.00,11.07,0.001
11,8192.00,12.26,0.055
12,8192.00,13.21,0.051
13,7808.00,14.06,0.053
14,8192.00,14.93,0.034
15,8192.00,16.02,0.001
16,8192.00,16.69,0.058
17,8192.00,18.00,0.001
18,8192.00,18.85,0.002
19,8192.00,19.93,0.003
20,8192.00,20.89,0.045
21,8192.00,21.50,0.066
22,8192.00,22.47,0.059
23,8192.00,23.50,0.011
24,8192.00,24.75,0.001
25,8192.00,25.33,0.062
26,8192.00,26.75,0.003
27,5248.00,27.25,0.028
